Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Albania,1995,All genders,Not applicable,Percent,68.93171
Albania,1995,Male,Not applicable,Percent,69.48094
Albania,1994,Female,Not applicable,Percent,69.44438
Albania,1994,Male,Not applicable,Percent,68.49359
Albania,1994,All genders,Not applicable,Percent,68.96015
Albania,1993,Female,Not applicable,Percent,72.2081
Albania,1993,All genders,Not applicable,Percent,70.54801
Albania,1993,Male,Not applicable,Percent,68.96155
Albania,1992,Female,Not applicable,Percent,78.25652
Albania,1992,Male,Not applicable,Percent,77.60674
Albania,1992,All genders,Not applicable,Percent,77.9228
Albania,1991,Female,Not applicable,Percent,87.095
Albania,1991,All genders,Not applicable,Percent,91.1052
Albania,1991,Male,Not applicable,Percent,94.87686
Albania,1990,Female,Not applicable,Percent,86.11666
Albania,1990,Male,Not applicable,Percent,94.13928
Albania,1990,All genders,Not applicable,Percent,90.26128
Albania,1989,Female,Not applicable,Percent,85.47884
Albania,1989,All genders,Not applicable,Percent,88.95282
Albania,1989,Male,Not applicable,Percent,92.20301
Albania,1988,Male,Not applicable,Percent,91.97212
Albania,1988,Female,Not applicable,Percent,85.27212
Albania,1988,All genders,Not applicable,Percent,88.72785
Albania,1987,Male,Not applicable,Percent,91.34155
Albania,1987,All genders,Not applicable,Percent,87.93179
Albania,1987,Female,Not applicable,Percent,84.31591
Albania,1986,Male,Not applicable,Percent,92.54705
Albania,1986,Female,Not applicable,Percent,84.16328
Albania,1986,All genders,Not applicable,Percent,88.47091
Albania,1985,Male,Not applicable,Percent,89.13645
Albania,1985,All genders,Not applicable,Percent,85.33975
Albania,1985,Female,Not applicable,Percent,81.33418
Albania,1984,Male,Not applicable,Percent,84.96917
Albania,1984,Female,Not applicable,Percent,79.46444
Albania,1984,All genders,Not applicable,Percent,82.28929
Albania,1983,Male,Not applicable,Percent,84.54948
Albania,1983,All genders,Not applicable,Percent,82.02884
Albania,1983,Female,Not applicable,Percent,79.37277
Albania,1982,Male,Not applicable,Percent,91.14875
Albania,1982,Female,Not applicable,Percent,82.76207
Albania,1982,All genders,Not applicable,Percent,87.0645
Albania,1981,Male,Not applicable,Percent,96.08666
Albania,1981,All genders,Not applicable,Percent,91.20017
Albania,1981,Female,Not applicable,Percent,86.05561
Albania,1980,Male,Not applicable,Percent,94.8626
Albania,1980,Female,Not applicable,Percent,85.29869
Albania,1980,All genders,Not applicable,Percent,90.20202
Albania,1979,Male,Not applicable,Percent,91.78243
Albania,1979,Female,Not applicable,Percent,84.55629
Albania,1979,All genders,Not applicable,Percent,88.25961
Albania,1978,Female,Not applicable,Percent,82.49188
Albania,1978,All genders,Not applicable,Percent,86.51271
Albania,1978,Male,Not applicable,Percent,90.34076
Albania,1976,Female,Not applicable,Percent,81.17726
Albania,1976,Male,Not applicable,Percent,88.60255
Albania,1976,All genders,Not applicable,Percent,84.97827
Algeria,2011,Female,Not applicable,Percent,101.68645
Algeria,2011,All genders,Not applicable,Percent,99.86019
Algeria,2011,Male,Not applicable,Percent,98.10101
Algeria,2010,All genders,Not applicable,Percent,97.17192
Algeria,2010,Male,Not applicable,Percent,95.5539
Algeria,2010,Female,Not applicable,Percent,98.85108
Algeria,2009,Female,Not applicable,Percent,93.53892
Algeria,2009,Male,Not applicable,Percent,92.61829
Algeria,2009,All genders,Not applicable,Percent,93.07003
Algeria,2008,All genders,Not applicable,Percent,76.75585
Algeria,2008,Male,Not applicable,Percent,75.36347
Algeria,2008,Female,Not applicable,Percent,78.20154
Algeria,2007,Female,Not applicable,Percent,73.06832
Algeria,2007,Male,Not applicable,Percent,67.60122
Algeria,2007,All genders,Not applicable,Percent,70.28121
Algeria,2006,All genders,Not applicable,Percent,79.79158
Algeria,2006,Male,Not applicable,Percent,76.27531
Algeria,2006,Female,Not applicable,Percent,83.45615
Algeria,2005,Female,Not applicable,Percent,82.45151
Algeria,2005,Male,Not applicable,Percent,75.26275
Algeria,2005,All genders,Not applicable,Percent,78.78223
Algeria,2004,All genders,Not applicable,Percent,77.2134
Algeria,2004,Male,Not applicable,Percent,73.92673
Algeria,2004,Female,Not applicable,Percent,80.64022
Algeria,2003,Female,Not applicable,Percent,76.91094
Algeria,2003,Male,Not applicable,Percent,70.72852
Algeria,2003,All genders,Not applicable,Percent,73.75566
Algeria,2002,Female,Not applicable,Percent,73.8171
Algeria,2002,All genders,Not applicable,Percent,71.55985
Algeria,2002,Male,Not applicable,Percent,69.39265
Algeria,2001,All genders,Not applicable,Percent,68.41097
Algeria,2001,Male,Not applicable,Percent,66.34989
Algeria,2001,Female,Not applicable,Percent,70.55501
Algeria,2000,All genders,Not applicable,Percent,64.72483
Algeria,2000,Female,Not applicable,Percent,66.25848
Algeria,2000,Male,Not applicable,Percent,63.24998
Algeria,1999,All genders,Not applicable,Percent,65.27889
Algeria,1999,Male,Not applicable,Percent,64.91969
Algeria,1999,Female,Not applicable,Percent,65.65226
Algeria,1997,Female,Not applicable,Percent,57.7623
Algeria,1997,Male,Not applicable,Percent,60.50084
Algeria,1997,All genders,Not applicable,Percent,59.15799
Algeria,1996,All genders,Not applicable,Percent,58.6382
Algeria,1996,Male,Not applicable,Percent,61.62387
Algeria,1996,Female,Not applicable,Percent,55.53318
Algeria,1995,Female,Not applicable,Percent,54.71932
Algeria,1995,Male,Not applicable,Percent,61.81626
Algeria,1995,All genders,Not applicable,Percent,58.33717
Algeria,1994,All genders,Not applicable,Percent,58.40698
Algeria,1994,Male,Not applicable,Percent,62.64522
Algeria,1994,Female,Not applicable,Percent,53.99961
Algeria,1993,Female,Not applicable,Percent,52.19729
Algeria,1993,Male,Not applicable,Percent,62.40124
Algeria,1993,All genders,Not applicable,Percent,57.39975
Algeria,1992,All genders,Not applicable,Percent,57.27878
Algeria,1992,Male,Not applicable,Percent,62.91947
Algeria,1992,Female,Not applicable,Percent,51.40779
Algeria,1991,Female,Not applicable,Percent,50.9775
Algeria,1991,Male,Not applicable,Percent,63.9037
Algeria,1991,All genders,Not applicable,Percent,57.57352
Algeria,1990,Male,Not applicable,Percent,66.47671
Algeria,1990,All genders,Not applicable,Percent,59.12105
Algeria,1990,Female,Not applicable,Percent,51.45546
Algeria,1989,Male,Not applicable,Percent,67.63779
Algeria,1989,Female,Not applicable,Percent,51.3271
Algeria,1989,All genders,Not applicable,Percent,59.65123
Algeria,1988,Male,Not applicable,Percent,60.55815
Algeria,1988,All genders,Not applicable,Percent,52.977
Algeria,1988,Female,Not applicable,Percent,45.07153
Algeria,1987,Male,Not applicable,Percent,59.56372
Algeria,1987,Female,Not applicable,Percent,43.93864
Algeria,1987,All genders,Not applicable,Percent,51.91699
Algeria,1986,Male,Not applicable,Percent,56.55942
Algeria,1986,All genders,Not applicable,Percent,49.42614
Algeria,1986,Female,Not applicable,Percent,41.97686
Algeria,1985,Male,Not applicable,Percent,52.05481
Algeria,1985,Female,Not applicable,Percent,37.80747
Algeria,1985,All genders,Not applicable,Percent,45.08651
Algeria,1984,Male,Not applicable,Percent,48.68
Algeria,1984,All genders,Not applicable,Percent,41.89046
Algeria,1984,Female,Not applicable,Percent,34.79469
Algeria,1983,All genders,Not applicable,Percent,38.52776
Algeria,1982,Female,Not applicable,Percent,28.44775
Algeria,1982,All genders,Not applicable,Percent,35.23465
Algeria,1982,Male,Not applicable,Percent,41.71846
Algeria,1981,All genders,Not applicable,Percent,32.18463
Algeria,1981,Male,Not applicable,Percent,38.66384
Algeria,1981,Female,Not applicable,Percent,25.39615
Algeria,1980,All genders,Not applicable,Percent,30.06515
Algeria,1980,Female,Not applicable,Percent,23.32475
Algeria,1980,Male,Not applicable,Percent,36.49963
Algeria,1979,All genders,Not applicable,Percent,27.99378
Algeria,1979,Male,Not applicable,Percent,34.49806
Algeria,1979,Female,Not applicable,Percent,21.18272
Algeria,1978,All genders,Not applicable,Percent,25.32871
Algeria,1978,Female,Not applicable,Percent,18.50226
Algeria,1978,Male,Not applicable,Percent,31.85123
Algeria,1977,All genders,Not applicable,Percent,21.51011
Algeria,1977,Male,Not applicable,Percent,27.64707
Algeria,1977,Female,Not applicable,Percent,15.09176
Algeria,1976,All genders,Not applicable,Percent,18.39504
Algeria,1976,Female,Not applicable,Percent,12.6492
Algeria,1976,Male,Not applicable,Percent,23.89346
Algeria,1975,Male,Not applicable,Percent,21.01477
Algeria,1975,Female,Not applicable,Percent,10.82075
Algeria,1975,All genders,Not applicable,Percent,16.02827
Andorra,1983,Female,Not applicable,Percent,52.0475
Andorra,1983,All genders,Not applicable,Percent,49.39144
Andorra,1983,Male,Not applicable,Percent,46.9457
Andorra,1976,Male,Not applicable,Percent,23.36515
Andorra,1976,Female,Not applicable,Percent,47.37527
Andorra,1976,All genders,Not applicable,Percent,34.14492
Andorra,1975,All genders,Not applicable,Percent,25.93956
Andorra,1975,Female,Not applicable,Percent,27.82875
Andorra,1975,Male,Not applicable,Percent,24.43439
Angola,2011,Male,Not applicable,Percent,35.0813
Angola,2011,Female,Not applicable,Percent,22.74144
Angola,2011,All genders,Not applicable,Percent,28.89872
Angola,2010,All genders,Not applicable,Percent,28.78131
Angola,2010,Female,Not applicable,Percent,23.41391
Angola,2010,Male,Not applicable,Percent,34.18099
Angola,2009,Male,Not applicable,Percent,28.34314
Angola,2009,Female,Not applicable,Percent,21.67039
Angola,2009,All genders,Not applicable,Percent,24.99245
Angola,2008,All genders,Not applicable,Percent,23.55459
Angola,2008,Female,Not applicable,Percent,20.49666
Angola,2008,Male,Not applicable,Percent,26.64603
Angola,2002,Male,Not applicable,Percent,18.40577
Angola,2002,Female,Not applicable,Percent,15.23492
Angola,2002,All genders,Not applicable,Percent,16.80757
Angola,2001,All genders,Not applicable,Percent,15.57359
Angola,2001,Female,Not applicable,Percent,13.65151
Angola,2001,Male,Not applicable,Percent,17.52674
Angola,2000,Male,Not applicable,Percent,15.1774
Angola,2000,Female,Not applicable,Percent,12.40247
Angola,2000,All genders,Not applicable,Percent,13.77945
Angola,1999,All genders,Not applicable,Percent,12.02433
Angola,1999,Female,Not applicable,Percent,10.3593
Angola,1999,Male,Not applicable,Percent,13.71369
Angola,1998,Male,Not applicable,Percent,13.52128
Angola,1998,Female,Not applicable,Percent,10.55516
Angola,1998,All genders,Not applicable,Percent,12.02812
Angola,1992,All genders,Not applicable,Percent,12.42604
Angola,1991,All genders,Not applicable,Percent,11.00465
Angola,1990,All genders,Not applicable,Percent,10.37002
Angola,1989,All genders,Not applicable,Percent,11.1814
Angola,1988,All genders,Not applicable,Percent,10.07974
Angola,1987,All genders,Not applicable,Percent,11.93808
Angola,1986,All genders,Not applicable,Percent,12.27909
Angola,1985,All genders,Not applicable,Percent,10.74187
Angola,1984,All genders,Not applicable,Percent,12.50289
Angola,1983,Female,Not applicable,Percent,6.64159
Angola,1983,All genders,Not applicable,Percent,10.04539
Angola,1983,Male,Not applicable,Percent,13.48571
Angola,1982,Female,Not applicable,Percent,7.18947
Angola,1982,Male,Not applicable,Percent,14.98533
Angola,1982,All genders,Not applicable,Percent,11.06635
Angola,1981,All genders,Not applicable,Percent,15.66875
Angola,1980,All genders,Not applicable,Percent,12.18995
Angola,1978,All genders,Not applicable,Percent,9.5099
Antigua and Barbuda,2014,Female,Not applicable,Percent,102.8447
Antigua and Barbuda,2014,Male,Not applicable,Percent,101.80361
Antigua and Barbuda,2014,All genders,Not applicable,Percent,102.31822
Antigua and Barbuda,2012,All genders,Not applicable,Percent,105.39351
Antigua and Barbuda,2012,Male,Not applicable,Percent,97.9428
Antigua and Barbuda,2012,Female,Not applicable,Percent,112.87802
Antigua and Barbuda,2011,Female,Not applicable,Percent,105.66085
Antigua and Barbuda,2011,Male,Not applicable,Percent,106.57895
Antigua and Barbuda,2011,All genders,Not applicable,Percent,106.11655
Antigua and Barbuda,2010,All genders,Not applicable,Percent,106.20672
Antigua and Barbuda,2010,Male,Not applicable,Percent,105.69815
Antigua and Barbuda,2010,Female,Not applicable,Percent,106.69632
Antigua and Barbuda,2009,Female,Not applicable,Percent,108.05816
Antigua and Barbuda,2009,Male,Not applicable,Percent,109.01489
Antigua and Barbuda,2009,All genders,Not applicable,Percent,108.52251
Antigua and Barbuda,2008,All genders,Not applicable,Percent,110.87124
Antigua and Barbuda,2008,Male,Not applicable,Percent,114.73572
Antigua and Barbuda,2008,Female,Not applicable,Percent,107.28444
Antigua and Barbuda,2007,Male,Not applicable,Percent,105.01782
Antigua and Barbuda,2007,Female,Not applicable,Percent,100.52671
Antigua and Barbuda,2007,All genders,Not applicable,Percent,102.67226
Antigua and Barbuda,2000,Male,Not applicable,Percent,82.75536
Antigua and Barbuda,2000,All genders,Not applicable,Percent,77.87454
Antigua and Barbuda,2000,Female,Not applicable,Percent,73.57757
Antigua and Barbuda,1992,All genders,Not applicable,Percent,119.97126
Antigua and Barbuda,1992,Female,Not applicable,Percent,118.57085
Antigua and Barbuda,1992,Male,Not applicable,Percent,121.41962
Antigua and Barbuda,1978,All genders,Not applicable,Percent,69.34014
Antigua and Barbuda,1978,Male,Not applicable,Percent,80.47179
Antigua and Barbuda,1978,Female,Not applicable,Percent,58.22201
Antigua and Barbuda,1977,All genders,Not applicable,Percent,84.6718
Antigua and Barbuda,1977,Female,Not applicable,Percent,87.10776
Antigua and Barbuda,1977,Male,Not applicable,Percent,82.2113
Antigua and Barbuda,1976,All genders,Not applicable,Percent,83.63347
Antigua and Barbuda,1975,Male,Not applicable,Percent,73.15503
Antigua and Barbuda,1975,All genders,Not applicable,Percent,78.77971
Antigua and Barbuda,1975,Female,Not applicable,Percent,84.2871
Argentina,2013,All genders,Not applicable,Percent,106.32314
Argentina,2013,Female,Not applicable,Percent,110.27476
Argentina,2013,Male,Not applicable,Percent,102.49996
Argentina,2012,All genders,Not applicable,Percent,105.19255
Argentina,2012,Male,Not applicable,Percent,100.77104
Argentina,2012,Female,Not applicable,Percent,109.76248
Argentina,2011,All genders,Not applicable,Percent,103.59968
Argentina,2011,Female,Not applicable,Percent,108.8132
Argentina,2011,Male,Not applicable,Percent,98.55615
Argentina,2010,All genders,Not applicable,Percent,101.80112
Argentina,2010,Male,Not applicable,Percent,97.12749
Argentina,2010,Female,Not applicable,Percent,106.6336
Argentina,2009,All genders,Not applicable,Percent,98.83082
Argentina,2009,Female,Not applicable,Percent,104.40733
Argentina,2009,Male,Not applicable,Percent,93.43562
Argentina,2008,All genders,Not applicable,Percent,95.24628
Argentina,2008,Male,Not applicable,Percent,89.6445
Argentina,2008,Female,Not applicable,Percent,101.03357
Argentina,2007,All genders,Not applicable,Percent,93.70675
Argentina,2007,Female,Not applicable,Percent,99.05835
Argentina,2007,Male,Not applicable,Percent,88.52377
Argentina,2006,All genders,Not applicable,Percent,93.34507
Argentina,2006,Male,Not applicable,Percent,88.58358
Argentina,2006,Female,Not applicable,Percent,98.25827
Argentina,2005,All genders,Not applicable,Percent,94.00599
Argentina,2005,Female,Not applicable,Percent,98.38071
Argentina,2005,Male,Not applicable,Percent,89.76351
Argentina,2004,All genders,Not applicable,Percent,95.49693
Argentina,2004,Male,Not applicable,Percent,91.71061
Argentina,2004,Female,Not applicable,Percent,99.39664
Argentina,2003,All genders,Not applicable,Percent,95.75099
Argentina,2003,Female,Not applicable,Percent,98.99436
Argentina,2003,Male,Not applicable,Percent,92.59927
Argentina,2002,All genders,Not applicable,Percent,96.56709
Argentina,2002,Male,Not applicable,Percent,93.71282
Argentina,2002,Female,Not applicable,Percent,99.50299
Argentina,2001,All genders,Not applicable,Percent,97.46162
Argentina,2001,Female,Not applicable,Percent,100.50791
Argentina,2001,Male,Not applicable,Percent,94.49977
Argentina,2000,All genders,Not applicable,Percent,96.52345
Argentina,2000,Male,Not applicable,Percent,93.62074
Argentina,2000,Female,Not applicable,Percent,99.50923
Argentina,1999,Female,Not applicable,Percent,96.38653
Argentina,1999,Male,Not applicable,Percent,89.73614
Argentina,1999,All genders,Not applicable,Percent,93.0149
Argentina,1998,Female,Not applicable,Percent,83.80689
Argentina,1998,All genders,Not applicable,Percent,81.42908
Argentina,1998,Male,Not applicable,Percent,79.11483
Argentina,1997,All genders,Not applicable,Percent,75.16732
Argentina,1997,Male,Not applicable,Percent,71.82186
Argentina,1997,Female,Not applicable,Percent,78.59736
Argentina,1996,All genders,Not applicable,Percent,78.37558
Argentina,1996,Female,Not applicable,Percent,82.38561
Argentina,1996,Male,Not applicable,Percent,74.45595
Argentina,1994,All genders,Not applicable,Percent,68.73015
Argentina,1991,All genders,Not applicable,Percent,71.63714
Argentina,1990,All genders,Not applicable,Percent,71.15185
Argentina,1988,Male,Not applicable,Percent,67.60297
Argentina,1988,All genders,Not applicable,Percent,70.44679
Argentina,1988,Female,Not applicable,Percent,73.3185
Argentina,1987,All genders,Not applicable,Percent,69.98517
Argentina,1987,Female,Not applicable,Percent,72.65589
Argentina,1987,Male,Not applicable,Percent,67.34318
Argentina,1986,All genders,Not applicable,Percent,70.19964
Argentina,1986,Male,Not applicable,Percent,66.87021
Argentina,1986,Female,Not applicable,Percent,73.57073
Argentina,1985,All genders,Not applicable,Percent,70.20801
Argentina,1985,Female,Not applicable,Percent,74.06464
Argentina,1985,Male,Not applicable,Percent,66.40539
Argentina,1984,All genders,Not applicable,Percent,65.21991
Argentina,1984,Male,Not applicable,Percent,62.12581
Argentina,1984,Female,Not applicable,Percent,68.3617
Argentina,1983,All genders,Not applicable,Percent,59.75911
Argentina,1983,Female,Not applicable,Percent,61.81114
Argentina,1983,Male,Not applicable,Percent,57.73862
Argentina,1982,All genders,Not applicable,Percent,59.23363
Argentina,1982,Male,Not applicable,Percent,56.24245
Argentina,1982,Female,Not applicable,Percent,62.27003
Argentina,1981,All genders,Not applicable,Percent,57.61167
Argentina,1981,Female,Not applicable,Percent,61.62634
Argentina,1981,Male,Not applicable,Percent,53.65386
Argentina,1980,All genders,Not applicable,Percent,56.45949
Argentina,1980,Male,Not applicable,Percent,52.80499
Argentina,1980,Female,Not applicable,Percent,60.16508
Argentina,1979,All genders,Not applicable,Percent,55.5337
Argentina,1979,Female,Not applicable,Percent,59.01712
Argentina,1979,Male,Not applicable,Percent,52.09627
Argentina,1978,All genders,Not applicable,Percent,55.58721
Argentina,1978,Male,Not applicable,Percent,51.88899
Argentina,1978,Female,Not applicable,Percent,59.34125
Argentina,1977,Male,Not applicable,Percent,51.89991
Argentina,1977,Female,Not applicable,Percent,59.17664
Argentina,1977,All genders,Not applicable,Percent,55.50465
Argentina,1976,Male,Not applicable,Percent,52.07087
Argentina,1976,All genders,Not applicable,Percent,55.4216
Argentina,1976,Female,Not applicable,Percent,58.85061
Argentina,1975,Male,Not applicable,Percent,50.62019
Argentina,1975,Female,Not applicable,Percent,57.22417
Argentina,1975,All genders,Not applicable,Percent,53.87589
Armenia,2009,Female,Not applicable,Percent,105.13782
Armenia,2009,Male,Not applicable,Percent,89.85734
Armenia,2009,All genders,Not applicable,Percent,96.63288
Armenia,2008,All genders,Not applicable,Percent,92.70561
Armenia,2008,Male,Not applicable,Percent,86.25885
Armenia,2008,Female,Not applicable,Percent,100.55491
Armenia,2007,Female,Not applicable,Percent,101.85304
Armenia,2007,Male,Not applicable,Percent,88.92755
Armenia,2007,All genders,Not applicable,Percent,94.87297
Armenia,2006,All genders,Not applicable,Percent,93.88583
Armenia,2005,All genders,Not applicable,Percent,91.05856
Armenia,2004,All genders,Not applicable,Percent,88.32074
Armenia,2001,All genders,Not applicable,Percent,87.13641
Armenia,2000,All genders,Not applicable,Percent,90.74996
Armenia,2000,Male,Not applicable,Percent,86.97811
Armenia,2000,Female,Not applicable,Percent,94.52813
Armenia,1999,All genders,Not applicable,Percent,92.60464
Armenia,1998,All genders,Not applicable,Percent,93.19355
Armenia,1997,All genders,Not applicable,Percent,91.31016
Armenia,1996,All genders,Not applicable,Percent,91.43074
Armenia,1994,All genders,Not applicable,Percent,95.05888
Armenia,1993,All genders,Not applicable,Percent,93.37306
Armenia,1992,All genders,Not applicable,Percent,91.2517
Armenia,1991,All genders,Not applicable,Percent,91.31586
Aruba,2012,All genders,Not applicable,Percent,111.17452
Aruba,2012,Male,Not applicable,Percent,110.26378
Aruba,2012,Female,Not applicable,Percent,112.11549
Aruba,2011,Female,Not applicable,Percent,99.73133
Aruba,2011,Male,Not applicable,Percent,94.41154
Aruba,2011,All genders,Not applicable,Percent,97.01512
Aruba,2010,Male,Not applicable,Percent,93.47659
